"#Sales/#Orders","#Sales/#Orders"
"%s %s for each sale you deliver","%s %s for each sale you deliver"
"%s %s for the first order of a customer, %s for next orders","%s %s for the first order of a customer, %s for next orders"
"%s - Minimum balance required for payout.","%s - Minimum balance required for payout."
"%s for next orders","%s for next orders"
"%s for the first order of a customer","%s for the first order of a customer"
"%s of sales amount","%s of sales amount"
"%s on the first order, %s of next orders","%s on the first order, %s of next orders"
"%s per sale","%s per sale"
"%sx%s","%sx%s"
"-- Please Select --","-- Please Select --"
"1. Log in to your email and get your authentication code.","1. Log in to your email and get your authentication code."
"10px","10px"
"2. Put authentication code into the blank below.","2. Put authentication code into the blank below."
"3. Click on Verify button.","3. Click on Verify button."
"Allow affiliates to use commission to check out at your store","Allow affiliates to use commission to check out at your store"
"Customer first buys through affiliate A's link, though later clicks affiliate B's link and buys, this transaction will still be counted for affiliate A","Customer first buys through affiliate A's link, though later clicks affiliate B's link and buys, this transaction will still be counted for affiliate A"
"ADDITIONAL SALES COMMISSIONS","ADDITIONAL SALES COMMISSIONS"
"ASC","ASC"
"Account Balance","Account Balance"
"Account Balance Scope","Account Balance Scope"
"Account Configuration","Account Configuration"
"Account Email","Account Email"
"Account Information","Account Information"
"Account Manager","Account Manager"
"New Account","New Account"
"New Accounts","New Accounts"
"Account Settings","Account Settings"
"This account does not exist.","This account does not exist."
"Account not enough balance to cancel","Account not enough balance to cancel"
"The account has been deleted successfully.","The account has been deleted successfully."
"The account has been updated successfully.","The account has been updated successfully."
"Accounts Manager","Accounts Manager"
"Action","Action"
"Add Account","Add Account"
"Add Banner","Add Banner"
"Add Level","Add Level"
"Add Withdrawal","Add Withdrawal"
"Add Withdrawal for ","Add Withdrawal for "
"Add commission to account balance when order status is","Add commission to account balance when order status is"
"Add payout","Add payout"
"Additional Commission","Additional Commission"
"Additional Commission Percentage","Additional Commission Percentage"
"Additional commission received","Additional commissions received"
"Address","Address"
"Address Information","Address Information"
"Affiliate","Affiliate"
"Affiliate Account","Affiliate Account"
"Affiliate Account Information","Affiliate Account Information"
"Affiliate Credit","Affiliate Credit"
"Affiliate Discount","Affiliate Discount"
"Affiliate Email","Affiliate Email"
"Affiliate Home","Affiliate Home"
"Affiliate Link","Affiliate Link"
"Affiliate Login","Affiliate Login"
"Affiliate Name","Affiliate Name"
"Affiliate Plus","Affiliate Plus"
"Affiliate Program","Affiliate Program"
"Affiliate Store Credit","Affiliate Store Credit"
"Affiliate login","Affiliate login"
"Affiliateplus","Affiliateplus"
"Affiliates","Affiliates"
"After this time, a new click/view from each IP will be counted as an unique click/view.","After this time, a new click/view from each IP will be counted as an unique click/view."
"All","All"
"All time","All time"
"Allow Everything","Allow Everything"
"Allow affiliates to cancel withdrawal request within","Allow affiliates to cancel withdrawal request within"
"Allow withdrawal request","Allow withdrawal request"
"Amount","Amount"
"Amount To Transfer","Amount To Transfer"
"An authentication code has been sent to you. Please take the following steps to verify your email address.","An authentication code has been sent to you. Please take the following steps to verify your email address."
"Apply","Apply"
"Approved","Approved"
"Are you sure you want to pay out for this account?","Are you sure you want to pay out for this account?"
"Are you sure of paying out for this withdrawal?","Are you sure you want to authorize this withdrawal?"
"Are you sure?","Are you sure?"
"Associate to Website","Associate to Website"
"Authentication Code","Authentication Code"
"Automatic Payout for Affiliate through Paygate","Automatic Payout for Affiliate through Paygate"
