"%s","%s"
"API Password","API Password"
"API Signature","API Signature"
"API Username","API Username"
"API/MQI Password","API/MQI Password"
"Acc Number: %s","Acc Number: %s"
"Account Information","Account Information"
"Account Settings","Account Settings"
"Account: %s","Account: %s"
"Active","Active"
"Address","Address"
"Admin Email","Admin Email"
"Admin Message","Admin Message"
"Affiliate Plus Payment Method","Affiliate Plus Payment Method"
"Allow Everything","Allow Everything"
"Amount","Amount"
"Auto complete Withdrawal","Auto complete Withdrawal"
"Back","Back"
"Bank Account","Bank Account"
"Bank Address: %s","Bank Address: %s"
"Bank SWIFT code","Bank SWIFT code"
"Bank Statement","Bank Statement"
"Bank Transfer Payment","Bank Transfer Payment"
"Bank Transfer Payment Method","Bank Transfer Payment Method"
"Bank account name","Bank account name"
"Bank account name is empty.","Bank account name is empty."
"Bank account number","Bank account number"
"Bank account number is empty.","Bank account number is empty."
"Bank address","Bank address"
"Bank name","Bank name"
"Bank name is empty.","Bank name is empty."
"Bank routing code","Bank routing code"
"Bank: %s","Bank: %s"
"Can not connect to Moneybooker server at this time","Can not connect to Moneybooker server at this time"
"Cancel","Cancel"
"Canceled","Canceled"
"Change Password","Change Password"
"City","City"
"Completed","Completed"
"Confirm","Confirm"
"Confirm New Password","Confirm New Password"
"Confirm Request","Confirm Request"
"Content of notification email","Content of notification email"
"Country","Country"
"Current Password","Current Password"
"Custom Period","Custom Period"
"Custom payout days","Custom payout days"
"Email","Email"
"Email template sent to Admins","Email template sent to Admins"
"Email template sent to Affiliate","Email template sent to Affiliate"
"Email template sent to admin when withdrawal by recurring","Email template sent to admin when withdrawal by recurring"
"Email template sent to affiliate when withdrawal by recurring","Email template sent to affiliate when withdrawal by recurring"
"Email: ","Email: "
"Enable Recurring Payment","Enable Recurring Payment"
"Fax","Fax"
"Fee","Fee"
"Fee Value","Fee Value"
"Fee: ","Fee: "
"First Name","First Name"
"Invoice Address","Invoice Address"
"Invoice Number","Invoice Number"
"Is Recurring","Is Recurring"
"Is Recurring Payment","Is Recurring Payment"
"Label","Label"
"Last Name","Last Name"
"Maximum accounts","Maximum accounts"
"Maximum accounts can receive payout per cron. Put 0 for unlimited accounts.","Maximum accounts can receive payout per cron. Put 0 for unlimited accounts."
"Message","Message"
"Method: ","Method: "
"Minimum balance to request payment is %s","Minimum balance to request payment is %s"
"Moneybooker","Moneybooker"
"Moneybooker Email","Moneybooker Email"
"Moneybooker Payment","Moneybooker Payment"
"Moneybooker Payment Method","Moneybooker Payment Method"
"Moneybooker: Check in your account profile that the API is enabled and you are posting your requests from the IP address specified","Moneybooker: Check in your account profile that the API is enabled and you are posting your requests from the IP address specified"
"Moneybooker: Email address and/or API/MQI password are incorrect, please check your  configuration","Moneybooker: Email address and/or API/MQI password are incorrect, please check your  configuration"
"Moneybooker: Email address and/or password were not provided","Moneybooker: Email address and/or password were not provided"
"Moneybooker: Sending amount exceeds account balance.","Moneybooker: Sending amount exceeds account balance."
"Moneybooker: This account is currently locked.","Moneybooker: This account is currently locked."
"Moneybooker: This email is invalid.","Moneybooker: This email is invalid."
"Moneybooker: Transfer failed.","Moneybooker: Transfer failed."
"Moneybookers merchant email","Moneybookers merchant email"
"Monthly","Monthly"
"N/A","N/A"
"Name","Name"
"Need at least one active method payment","Need at least one active method payment"
"New Address","New Address"
"New Bank Account","New Bank Account"
"New Password","New Password"
"No","No"
