"10px","10px"
"Reports","Reports"
"Account Email","Account Email"
"Account Name","Account Name"
"Additional","Additional"
"Affiliate Account","Affiliate Account"
"Affiliate Account Report","Affiliate Account Report"
"Affiliate Plus","Affiliate Plus"
"Affiliate Plus Dashboard","Affiliate Plus Dashboard"
"Affiliate Plus Report","Affiliate Plus Report"
"Affiliateplus","Affiliateplus"
"Allow Everything","Allow Everything"
"Any","Any"
"Applies to Any of the Specified Transaction Statuses","Applies to Any of the Specified Transaction Statuses"
"Balance","Balance"
"Banner","Banner"
"Bestseller Products","Bestseller Products"
"Bestseller Report","Bestseller Report"
"CSV","CSV"
"Cancel","Cancel"
"Canceled","Canceled"
"Clicks","Clicks"
"Click Report","Click Report"
"Commission","Commission"
"Commissions","Commissions"
"Commission(s)","Commission(s)"
"Complete","Complete"
"Completed","Completed"
"Create a Report","Create a Report"
"Current Month Starts","Current Month Starts"
"Dashboard","Dashboard"
"Day","Day"
"Download CSV","Download CSV"
"Email","Email"
"Email Address","Email Address"
"Empty Rows","Empty Rows"
"Enable Charts","Enable Charts"
"Enable Frontend Report","Enable Frontend Report"
"Excel XML","Excel XML"
"Export","Export"
"From","From"
"General","General"
"Group By","Group By"
"ID","ID"
"Impressions","Impressions"
"Impression Report","Impression Report"
"Landing Page","Landing Page"
"Lifetime Sales","Lifetime Sales"
"Month","Month"
"N/A","N/A"
"Name","Name"
"New Account","New Account"
"New Accounts","New Accounts"
"No","No"
"No Data Found","No Data Found"
"No records found for this period.","No records found for this period."
"Number of Orders","Number of Orders"
"Pending","Pending"
"Period","Period"
"Please wait...","Please wait..."
"Price","Price"
"Product Name","Product Name"
"Products Name","Products Name"
"Quantity Ordered","Quantity Ordered"
"Raw","Raw"
"Raw Clicks","Raw Clicks"
"Registered On","Registered On"
"Report Email","Report Email"
"Select the month and day that is the beginning of the fiscal year.","Select the month and day that is the beginning of the fiscal year."
"Report email template","Report email template"
"Report email template sent to affiliate account","Report email template sent to affiliate account"
"Report sending frequency","Report sending frequency"
"Reports","Reports"
"SKU","SKU"
"Sales","Sales"
"Sales Amount","Sales Amount"
"Sales Report","Sales Report"
"Select Range","Select Range"
"Select the day of the month to be used as the starting point for reports.","Select the day of the month to be used as the starting point for reports."
"Send report email to affiliates","Send report email to affiliates"
"Show Report","Show Report"
"Specified","Specified"
"Specific","Specific"
"Standard Earnings","Standard Earnings"
"Standard Transactions","Standard Transactions"
"Statistic","Statistic"
"Statistic Chart","Statistic Chart"
"Statistics","Statistics"
"Status","Status"
"There are no items matching this selection.","There are no items matching this selection."
"To","To"
"Top Affiliates","Top Affiliates"
"Top Traffic Sources","Top Traffic Sources"
"Total","Total"
"Total Affiliate Accounts","Total Affiliate Accounts"
"Total Sales Amount","Total Sales Amount"
"Total Clicks","Total Clicks"
"Click Reports","Click Reports"
"Total Commissions","Total Commissions"
"Total Impressions","Total Impressions"
"Total Impressions Reports","Total Impressions Reports"
"Total Payouts","Total Payouts"
"Sales Report","Sales Report"
"Total Sales Report","Total Sales Report"
"Total Transactions","Total Transactions"
"Total amount of Sales through Affiliate system","Total amount of Sales through Affiliate system"
"Total banner views on Affiliate sites","Total banner views on Affiliate sites"
"Total clicks to Affiliate link","Total clicks to Affiliate link"
"Traffic Activity","Traffic Activity"
"Traffic Source","Traffic Source"
"Transaction Activity","Transaction Activity"
"Transaction Status","Transaction Status"
"Transactions","Transactions"
"Type","Type"
"Unique","Unique"
"Unique Clicks","Unique Clicks"
"Unique Clicks / Total Clicks","Unique Clicks / Total Clicks"
"Unique Impressions","Unique Impressions"
"Unique Impressions / Total Impressions","Unique Impressions / Total Impressions"
"Year","Year"
"Year-To-Date Starts","Year-To-Date Starts"
"Yes","Yes"
"last month","last month"
"last week","last week"
"last year","last year"
